,precision,recall,f1-score,support
battery,0.9221556886227545,0.9625,0.9418960244648318,160.0
biological,0.8983050847457628,0.99375,0.9436201780415431,160.0
brown-glass,0.8251748251748252,0.9672131147540983,0.8905660377358491,122.0
cardboard,0.910828025477707,0.89375,0.9022082018927445,160.0
clothes,0.9629629629629629,0.975,0.968944099378882,160.0
green-glass,0.9026548672566371,0.8095238095238095,0.8535564853556485,126.0
metal,0.6441441441441441,0.9285714285714286,0.7606382978723404,154.0
paper,0.9155844155844156,0.88125,0.8980891719745223,160.0
plastic,0.9345794392523364,0.625,0.7490636704119851,160.0
shoes,0.9393939393939394,0.96875,0.9538461538461539,160.0
trash,0.9847328244274809,0.9214285714285714,0.9520295202952029,140.0
white-glass,0.8991596638655462,0.6903225806451613,0.781021897810219,155.0
accuracy,0.8844248761695102,0.8844248761695102,0.8844248761695102,0.8844248761695102
macro avg,0.8949729900757094,0.884754958743589,0.8829566449233269,1817.0
weighted avg,0.8961177283595215,0.8844248761695102,0.8832717658968323,1817.0
